District,Confirmed,Deaths
Kathmandu,116225,10259.0
Mustang,71849,
Solukhumbu,18252,
Lalitpur,18055,
Okhaldhunga,16820,
Kaski,16610,
Dolpa,14955,
Morang,13906,
Rupandehi,11219,
Bhaktapur,10134,
Sunsari,9383,
Taplejung,9203,
Bhojpur,9146,
Khotang,9089,
Myagdi,8963,
Sankhuwasabha,8817,
Chitwan,8780,
Terhathum,8771,
Rasuwa,8732,
Kalikot,8728,
Rolpa,8584,
Panchthar,8482,
Dhankuta,8370,
Rukum West,8331,
Siraha,7914,
Jajarkot,7733,
Banke,7705,
Darchula,7637,
Rukum East,7520,
Parbat,7430,
Jumla,7235,
Illam,7172,
Ramechhap,6904,
Dadeldhura,6886,
Manang,6776,
Kailali,6654,
Udayapur,6535,
Kavrepalanchowk,6529,
Nawalparasi West,6451,
Palpa,6369,
Dolakha,6359,
Kanchanpur,6298,
Dhading,6237,
Arghakhanchi,5934,
Gulmi,5926,
Nuwakot,5761,
Sindhupalchowk,5732,
Surkhet,5703,
Tanahun,5648,
Nawalparasi East,5569,
Doti,5370,
Bajura,5358,
Gorkha,5324,
Dhanusa,5225,
Jhapa,5211,
Sindhuli,5165,
Dailekh,5122,
Lamjung,5073,
Rautahat,4932,
Dang,4909,
Humla,4876,
Pyuthan,4832,
Mugu,4812,
Baglung,4754,
Sarlahi,4694,
Makwanpur,4632,
Bajhang,4550,
Bardiya,4372,
Syangja,4317,
Salyan,4282,
Achham,4262,
Parsa,4258,
Baitadi,4182,
Kapilvastu,4171,
Mahottari,3981,
Saptari,3946,
Bara,3848,
